2024-09-08 19:38:48 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:42:40 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:42:52 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:43:39 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:47:59 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:48:23 | DEBUG    | src.yandex:fill_form:102 - In checkbox
2024-09-08 19:49:07 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:50:15 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:50:23 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:50:32 | DEBUG    | src.yandex:fill_form:102 - In checkbox
2024-09-08 19:50:41 | DEBUG    | src.yandex:fill_form:102 - In checkbox
2024-09-08 19:53:09 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:57:29 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 19:57:38 | INFO     | src.yandex:fill_form:115 - Processed question 1
2024-09-08 19:57:42 | INFO     | src.yandex:fill_form:115 - Processed question 2
2024-09-08 19:57:47 | INFO     | src.yandex:fill_form:115 - Processed question 3
2024-09-08 19:57:51 | INFO     | src.yandex:fill_form:115 - Processed question 4
2024-09-08 19:58:20 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:47:15 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:47:18 | DEBUG    | src.yandex:start:34 - page loaded
2024-09-08 20:47:25 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:47:38 | INFO     | src.yandex:fill_form:116 - Processed question 2
2024-09-08 20:48:23 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:48:25 | DEBUG    | src.yandex:start:34 - page loaded
2024-09-08 20:48:45 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:48:47 | DEBUG    | src.yandex:start:34 - page loaded
2024-09-08 20:48:52 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:48:56 | INFO     | src.yandex:fill_form:116 - Processed question 2
2024-09-08 20:49:00 | INFO     | src.yandex:fill_form:116 - Processed question 3
2024-09-08 20:49:46 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:49:48 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 20:56:25 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:56:37 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:56:41 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 20:56:44 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:56:47 | INFO     | src.yandex:fill_form:116 - Processed question 2
2024-09-08 20:56:49 | INFO     | src.yandex:fill_form:116 - Processed question 3
2024-09-08 20:56:52 | INFO     | src.yandex:fill_form:116 - Processed question 4
2024-09-08 20:57:35 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:57:39 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 20:57:42 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:57:46 | INFO     | src.yandex:fill_form:116 - Processed question 2
2024-09-08 20:57:50 | INFO     | src.yandex:fill_form:116 - Processed question 3
2024-09-08 20:57:55 | INFO     | src.yandex:fill_form:116 - Processed question 4
2024-09-08 20:58:21 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:58:25 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 20:58:28 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:58:56 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:59:00 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:59:04 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 20:59:09 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:59:13 | INFO     | src.yandex:fill_form:116 - Processed question 2
2024-09-08 20:59:22 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 20:59:25 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 20:59:29 | INFO     | src.yandex:fill_form:116 - Processed question 1
2024-09-08 20:59:33 | INFO     | src.yandex:fill_form:116 - Processed question 2
2024-09-08 20:59:39 | INFO     | src.yandex:fill_form:116 - Processed question 3
2024-09-08 20:59:46 | INFO     | src.yandex:fill_form:116 - Processed question 4
2024-09-08 21:14:21 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 21:14:26 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 21:14:27 | INFO     | src.yandex:fill_form:126 - Processed question 1
2024-09-08 21:14:32 | INFO     | src.yandex:fill_form:126 - Processed question 2
2024-09-08 21:14:34 | INFO     | src.yandex:fill_form:126 - Processed question 3
2024-09-08 21:14:42 | INFO     | src.yandex:fill_form:126 - Processed question 4
2024-09-08 21:17:19 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 21:17:28 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 21:17:30 | INFO     | src.yandex:fill_form:129 - Processed question 1
2024-09-08 21:17:34 | INFO     | src.yandex:fill_form:129 - Processed question 2
2024-09-08 21:17:35 | INFO     | src.yandex:fill_form:129 - Processed question 3
